,AirCanada,AirFrance,AirSeoul,AmericanAirline,Asiana,ChinaEastern,ChinaSouthern,Delta,Emirates,JejuAir,JinAir,KLM,KoreanAir,LuftHansa,Qatar,Tway,United
0,서비스,서비스,좌석,이용,서비스,중국,중국,승무원,두바이,좌석,좌석,좌석,서비스,좌석,도하,이용,서비스
1,좌석,이용,저가,좌석,이용,이용,기내식,서비스,서비스,이용,저가,이용,이용,이용,서비스,좌석,승무원
2,토론토,파리,이용,승무원,승무원,기내식,서비스,좌석,승무원,저가,승무원,서비스,승무원,서비스,좌석,서비스,이용
3,이용,기내식,체크,탑승,좌석,서비스,이용,미국,좌석,서비스,기내식,승무원,좌석,승무원,기내식,가격,가격
4,기내식,좌석,출발,서비스,기내식,출발,광저우,이용,이용,가격,제공,도착,기내식,기내식,이용,저가,좌석
5,승무원,승무원,아시아나,미국,여행,가격,승무원,기내식,기내식,출발,이용,유럽,여행,프랑크푸르트,승무원,티웨이,미국
6,짐,기내,지연,기내식,더,쿤밍,출발,기내,기내,분,출발,출발,국적,여행,구간,승무원,말
7,기내,도착,여행,제공,탑승,승무원,제공,정도,경유,도착,생각,기내식,기내,독일,인천,여행,기내
8,식사,짐,서비스,여행,기내,탑승,가격,탑승,라운지,여행,분,좋았습니다,더,프리미엄,가격,기내식,유나이티드
9,한국,인천,생각,직원,생각,좌석,인천,영화,정말,승무원,자리,생각,탑승,인천,유럽,지연,입니다
