,index,date,passengers
0,16,2017-01-01,7863
1,33,2017-02-01,6767
2,50,2017-03-01,7393
3,67,2017-04-01,8617
4,84,2017-05-01,8852
5,101,2017-06-01,8993
6,118,2017-07-01,9231
7,135,2017-08-01,8975
8,152,2017-09-01,8576
9,169,2017-10-01,7606
10,186,2017-11-01,7192
11,203,2017-12-01,7665
12,220,2018-01-01,7857
13,237,2018-02-01,7599
14,254,2018-03-01,8038
15,271,2018-04-01,8440
16,288,2018-05-01,8810
17,305,2018-06-01,8276
18,322,2018-07-01,8678
19,339,2018-08-01,8469
20,356,2018-09-01,8155
21,373,2018-10-01,8436
22,390,2018-11-01,8197
23,407,2018-12-01,8350
24,424,2019-01-01,8655
25,441,2019-02-01,6999
26,458,2019-03-01,7952
27,475,2019-04-01,7893
28,492,2019-05-01,8974
29,509,2019-06-01,8712
30,526,2019-07-01,8727
31,543,2019-08-01,8467
32,560,2019-09-01,8342
33,577,2019-10-01,8653
34,594,2019-11-01,8519
35,611,2019-12-01,9224
36,628,2020-01-01,9131
37,645,2020-02-01,7404
38,662,2020-03-01,1618
39,678,2020-04-01,399
40,694,2020-05-01,1255
41,710,2020-06-01,2396
42,726,2020-07-01,2410
43,743,2020-08-01,2149
44,760,2020-09-01,1481
45,777,2020-10-01,1307
46,794,2020-11-01,1247
47,811,2020-12-01,1694
48,828,2021-01-01,1173
49,845,2021-02-01,718
50,862,2021-03-01,930
51,879,2021-04-01,964
52,896,2021-05-01,1161
53,913,2021-06-01,1946
54,930,2021-07-01,2222
55,947,2021-08-01,3495
