,date,passengers
0,2017-01-01,7863
1,2017-02-01,6767
2,2017-03-01,7393
3,2017-04-01,8617
4,2017-05-01,8852
5,2017-06-01,8993
6,2017-07-01,9231
7,2017-08-01,8975
8,2017-09-01,8576
9,2017-10-01,7606
10,2017-11-01,7192
11,2017-12-01,7665
12,2018-01-01,7857
13,2018-02-01,7599
14,2018-03-01,8038
15,2018-04-01,8440
16,2018-05-01,8810
17,2018-06-01,8276
18,2018-07-01,8678
19,2018-08-01,8469
20,2018-09-01,8155
21,2018-10-01,8436
22,2018-11-01,8197
23,2018-12-01,8350
24,2019-01-01,8655
25,2019-02-01,6999
26,2019-03-01,7952
27,2019-04-01,7893
28,2019-05-01,8974
29,2019-06-01,8712
30,2019-07-01,8727
31,2019-08-01,8467
32,2019-09-01,8342
33,2019-10-01,8653
34,2019-11-01,8519
35,2019-12-01,9224
36,2020-01-01,9131
37,2020-02-01,7404
38,2020-03-01,1618
39,2020-04-01,399
40,2020-05-01,1255
41,2020-06-01,2396
42,2020-07-01,2410
43,2020-08-01,2149
44,2020-09-01,1481
45,2020-10-01,1307
46,2020-11-01,1247
47,2020-12-01,1694
48,2021-01-01,1173
49,2021-02-01,718
50,2021-03-01,930
51,2021-04-01,964
52,2021-05-01,1161
53,2021-06-01,1946
54,2021-07-01,2222
55,2021-08-01,3495
