,index,date,passengers
0,0,2017-01-01,756322
1,17,2017-02-01,678846
2,34,2017-03-01,629667
3,51,2017-04-01,642086
4,68,2017-05-01,608914
5,85,2017-06-01,644683
6,102,2017-07-01,716892
7,119,2017-08-01,729937
8,136,2017-09-01,696130
9,153,2017-10-01,639764
10,170,2017-11-01,676743
11,187,2017-12-01,706617
12,204,2018-01-01,771718
13,221,2018-02-01,679015
14,238,2018-03-01,706452
15,255,2018-04-01,695665
16,272,2018-05-01,689296
17,289,2018-06-01,705238
18,306,2018-07-01,753335
19,323,2018-08-01,760056
20,340,2018-09-01,691659
21,357,2018-10-01,721660
22,374,2018-11-01,696608
23,391,2018-12-01,718860
24,408,2019-01-01,793284
25,425,2019-02-01,694737
26,442,2019-03-01,699681
27,459,2019-04-01,703102
28,476,2019-05-01,734923
29,493,2019-06-01,748111
30,510,2019-07-01,778478
31,527,2019-08-01,758838
32,544,2019-09-01,686901
33,561,2019-10-01,727095
34,578,2019-11-01,704502
35,595,2019-12-01,750773
36,612,2020-01-01,793682
37,629,2020-02-01,453163
38,646,2020-03-01,84142
39,663,2020-04-01,12585
40,679,2020-05-01,13859
41,695,2020-06-01,26424
42,711,2020-07-01,33162
43,727,2020-08-01,40950
44,744,2020-09-01,33179
45,761,2020-10-01,31582
46,778,2020-11-01,31803
47,795,2020-12-01,38488
48,812,2021-01-01,37577
49,829,2021-02-01,25055
50,846,2021-03-01,27822
51,863,2021-04-01,25767
52,880,2021-05-01,28469
53,897,2021-06-01,36598
54,914,2021-07-01,45449
55,931,2021-08-01,63002
