,date,passengers
0,2017-01-01,16199
1,2017-02-01,13187
2,2017-03-01,16164
3,2017-04-01,16947
4,2017-05-01,16807
5,2017-06-01,24272
6,2017-07-01,26788
7,2017-08-01,26740
8,2017-09-01,23910
9,2017-10-01,20328
10,2017-11-01,20614
11,2017-12-01,21840
12,2018-01-01,22808
13,2018-02-01,18600
14,2018-03-01,21553
15,2018-04-01,22775
16,2018-05-01,23549
17,2018-06-01,23594
18,2018-07-01,25354
19,2018-08-01,24715
20,2018-09-01,20833
21,2018-10-01,20619
22,2018-11-01,21303
23,2018-12-01,21574
24,2019-01-01,23958
25,2019-02-01,18566
26,2019-03-01,24054
27,2019-04-01,27063
28,2019-05-01,29089
29,2019-06-01,30367
30,2019-07-01,33737
31,2019-08-01,33452
32,2019-09-01,29004
33,2019-10-01,27704
34,2019-11-01,28351
35,2019-12-01,30927
36,2020-01-01,35446
37,2020-02-01,27458
38,2020-03-01,7063
39,2020-04-01,1989
40,2020-05-01,2401
41,2020-06-01,4645
42,2020-07-01,4762
43,2020-08-01,6354
44,2020-09-01,2994
45,2020-10-01,2799
46,2020-11-01,3069
47,2020-12-01,4240
48,2021-01-01,5976
49,2021-02-01,2895
50,2021-03-01,3432
51,2021-04-01,3057
52,2021-05-01,4066
53,2021-06-01,6059
54,2021-07-01,7409
55,2021-08-01,13061
