,date,passengers
0,2017-01-01,11509
1,2017-02-01,11222
2,2017-03-01,14249
3,2017-04-01,17913
4,2017-05-01,17503
5,2017-06-01,17934
6,2017-07-01,22822
7,2017-08-01,20649
8,2017-09-01,21446
9,2017-10-01,13737
10,2017-11-01,12188
11,2017-12-01,9601
12,2018-01-01,11361
13,2018-02-01,11222
14,2018-03-01,13263
15,2018-04-01,15356
16,2018-05-01,15392
17,2018-06-01,15593
18,2018-07-01,15933
19,2018-08-01,15048
20,2018-09-01,15494
21,2018-10-01,15316
22,2018-11-01,14875
23,2018-12-01,11328
24,2019-01-01,16474
25,2019-02-01,12849
26,2019-03-01,13749
27,2019-04-01,18506
28,2019-05-01,19592
29,2019-06-01,18617
30,2019-07-01,18941
31,2019-08-01,19827
32,2019-09-01,18569
33,2019-10-01,18059
34,2019-11-01,14557
35,2019-12-01,11883
36,2020-01-01,17456
37,2020-02-01,11668
38,2020-03-01,1507
39,2020-06-01,222
40,2020-07-01,1007
41,2020-08-01,1359
42,2020-09-01,933
43,2020-10-01,889
44,2020-11-01,525
45,2020-12-01,922
46,2021-01-01,870
47,2021-02-01,658
48,2021-03-01,863
49,2021-04-01,1057
50,2021-05-01,1042
51,2021-06-01,2341
52,2021-07-01,2705
53,2021-08-01,3998
