,index,date,passengers
0,3,2017-01-01,7943
1,20,2017-02-01,7633
2,37,2017-03-01,8362
3,54,2017-04-01,7950
4,71,2017-05-01,7438
5,88,2017-06-01,7994
6,105,2017-07-01,8261
7,122,2017-08-01,8650
8,139,2017-09-01,7999
9,156,2017-10-01,7285
10,173,2017-11-01,7352
11,190,2017-12-01,8396
12,207,2018-01-01,8205
13,224,2018-02-01,7307
14,241,2018-03-01,8498
15,258,2018-04-01,7994
16,275,2018-05-01,7632
17,292,2018-06-01,7872
18,309,2018-07-01,8805
19,326,2018-08-01,8665
20,343,2018-09-01,7814
21,360,2018-10-01,8143
22,377,2018-11-01,7864
23,394,2018-12-01,7611
24,411,2019-01-01,8742
25,428,2019-02-01,6856
26,445,2019-03-01,8172
27,462,2019-04-01,7861
28,479,2019-05-01,8053
29,496,2019-06-01,7962
30,513,2019-07-01,9012
31,530,2019-08-01,8956
32,547,2019-09-01,7506
33,564,2019-10-01,8396
34,581,2019-11-01,8293
35,598,2019-12-01,8279
36,615,2020-01-01,8753
37,632,2020-02-01,7672
38,649,2020-03-01,854
39,714,2020-07-01,775
40,730,2020-08-01,2431
41,747,2020-09-01,1368
42,764,2020-10-01,1434
43,781,2020-11-01,1106
44,798,2020-12-01,2020
45,815,2021-01-01,1807
46,832,2021-02-01,948
47,849,2021-03-01,1210
48,866,2021-04-01,1063
49,883,2021-05-01,2071
50,900,2021-06-01,3205
51,917,2021-07-01,2959
52,934,2021-08-01,3148
