,index,date,passengers
0,5,2017-01-01,14695
1,22,2017-02-01,13611
2,39,2017-03-01,13295
3,56,2017-04-01,15430
4,73,2017-05-01,13760
5,90,2017-06-01,12273
6,107,2017-07-01,15330
7,124,2017-08-01,14809
8,141,2017-09-01,16693
9,158,2017-10-01,14198
10,175,2017-11-01,13297
11,192,2017-12-01,13413
12,209,2018-01-01,15308
13,226,2018-02-01,12478
14,243,2018-03-01,14397
15,260,2018-04-01,16042
16,277,2018-05-01,14871
17,294,2018-06-01,14022
18,311,2018-07-01,15275
19,328,2018-08-01,15313
20,345,2018-09-01,14205
21,362,2018-10-01,13950
22,379,2018-11-01,12331
23,396,2018-12-01,11423
24,413,2019-01-01,13653
25,430,2019-02-01,11134
26,447,2019-03-01,12022
27,464,2019-04-01,13369
28,481,2019-05-01,12920
29,498,2019-06-01,14230
30,515,2019-07-01,15255
31,532,2019-08-01,15777
32,549,2019-09-01,14759
33,566,2019-10-01,14773
34,583,2019-11-01,12384
35,600,2019-12-01,14336
36,617,2020-01-01,14348
37,634,2020-02-01,10088
38,651,2020-03-01,2627
39,700,2020-06-01,120
40,716,2020-07-01,1215
41,732,2020-08-01,2104
42,749,2020-09-01,2212
43,766,2020-10-01,3667
44,783,2020-11-01,3702
45,800,2020-12-01,4458
46,817,2021-01-01,3705
47,834,2021-02-01,2893
48,851,2021-03-01,3954
49,868,2021-04-01,3147
50,885,2021-05-01,2478
51,902,2021-06-01,3255
52,919,2021-07-01,3738
53,936,2021-08-01,3214
