,date,passengers
0,2017-01-01,9143
1,2017-02-01,7724
2,2017-03-01,8226
3,2017-04-01,10240
4,2017-05-01,10469
5,2017-06-01,10625
6,2017-07-01,10303
7,2017-08-01,10609
8,2017-09-01,10968
9,2017-10-01,8878
10,2017-11-01,7771
11,2017-12-01,8178
12,2018-01-01,8989
13,2018-02-01,6943
14,2018-03-01,7242
15,2018-04-01,7221
16,2018-05-01,13033
17,2018-06-01,14445
18,2018-07-01,14653
19,2018-08-01,14926
20,2018-09-01,13937
21,2018-10-01,12953
22,2018-11-01,7978
23,2018-12-01,8114
24,2019-01-01,9404
25,2019-02-01,7174
26,2019-03-01,8316
27,2019-04-01,10528
28,2019-05-01,14198
29,2019-06-01,14847
30,2019-07-01,15186
31,2019-08-01,15427
32,2019-09-01,13983
33,2019-10-01,12976
34,2019-11-01,10747
35,2019-12-01,9540
36,2020-01-01,9643
37,2020-02-01,7114
38,2020-03-01,749
39,2020-07-01,696
40,2020-08-01,1240
41,2020-09-01,1001
42,2020-10-01,757
43,2020-11-01,465
44,2020-12-01,814
45,2021-01-01,777
46,2021-02-01,552
47,2021-03-01,629
48,2021-04-01,524
49,2021-05-01,618
50,2021-06-01,1084
51,2021-07-01,1563
52,2021-08-01,2018
