,index,date,passengers
0,7,2017-01-01,31457
1,24,2017-02-01,30007
2,41,2017-03-01,28964
3,58,2017-04-01,28360
4,75,2017-05-01,24826
5,92,2017-06-01,28075
6,109,2017-07-01,28588
7,126,2017-08-01,28665
8,143,2017-09-01,35838
9,160,2017-10-01,42945
10,177,2017-11-01,54184
11,194,2017-12-01,55412
12,211,2018-01-01,68853
13,228,2018-02-01,64778
14,245,2018-03-01,71073
15,262,2018-04-01,70241
16,279,2018-05-01,70060
17,296,2018-06-01,67949
18,313,2018-07-01,72961
19,330,2018-08-01,76347
20,347,2018-09-01,63279
21,364,2018-10-01,75585
22,381,2018-11-01,77137
23,398,2018-12-01,92065
24,415,2019-01-01,93438
25,432,2019-02-01,83899
26,449,2019-03-01,90395
27,466,2019-04-01,77494
28,483,2019-05-01,82741
29,500,2019-06-01,84328
30,517,2019-07-01,86565
31,534,2019-08-01,77091
32,551,2019-09-01,54212
33,568,2019-10-01,61664
34,585,2019-11-01,62053
35,602,2019-12-01,67023
36,619,2020-01-01,69572
37,636,2020-02-01,37446
38,734,2020-08-01,463
39,751,2020-09-01,644
40,768,2020-10-01,1153
41,785,2020-11-01,1203
42,802,2020-12-01,1596
43,819,2021-01-01,1144
44,836,2021-02-01,817
45,853,2021-03-01,1141
46,870,2021-04-01,900
47,887,2021-05-01,863
48,904,2021-06-01,1083
49,921,2021-07-01,962
50,938,2021-08-01,941
