,index,date,passengers
0,8,2017-01-01,14834
1,25,2017-02-01,11499
2,42,2017-03-01,11651
3,59,2017-04-01,14458
4,76,2017-05-01,13024
5,93,2017-06-01,14400
6,110,2017-07-01,16378
7,127,2017-08-01,15959
8,144,2017-09-01,14278
9,161,2017-10-01,11031
10,178,2017-11-01,6718
11,195,2017-12-01,6987
12,212,2018-01-01,7276
13,229,2018-02-01,6089
14,246,2018-03-01,6593
15,263,2018-04-01,6955
16,280,2018-05-01,6450
17,297,2018-06-01,7202
18,314,2018-07-01,7791
19,331,2018-08-01,7759
20,348,2018-09-01,6491
21,365,2018-10-01,6042
22,382,2018-11-01,6198
23,399,2018-12-01,6410
24,416,2019-01-01,7668
25,433,2019-02-01,4471
26,450,2019-03-01,5658
27,467,2019-04-01,8830
28,484,2019-05-01,9453
29,501,2019-06-01,11212
30,518,2019-07-01,13696
31,535,2019-08-01,14034
32,552,2019-09-01,9039
33,569,2019-10-01,9319
34,586,2019-11-01,6405
35,603,2019-12-01,6876
36,620,2020-01-01,7803
37,637,2020-02-01,5846
38,654,2020-03-01,1522
39,670,2020-04-01,26
40,718,2020-07-01,1009
41,735,2020-08-01,1984
42,752,2020-09-01,1244
43,769,2020-10-01,1012
44,786,2020-11-01,796
45,803,2020-12-01,1320
46,820,2021-01-01,1387
47,837,2021-02-01,859
48,854,2021-03-01,1063
49,871,2021-04-01,941
50,888,2021-05-01,1206
51,905,2021-06-01,2015
52,922,2021-07-01,4333
53,939,2021-08-01,6355
