,index,date,passengers
0,9,2017-01-01,178981
1,26,2017-02-01,171112
2,43,2017-03-01,163802
3,60,2017-04-01,177731
4,77,2017-05-01,185001
5,94,2017-06-01,186990
6,111,2017-07-01,208663
7,128,2017-08-01,210941
8,145,2017-09-01,194713
9,162,2017-10-01,191986
10,179,2017-11-01,200606
11,196,2017-12-01,221935
12,213,2018-01-01,248952
13,230,2018-02-01,215665
14,247,2018-03-01,208851
15,264,2018-04-01,216059
16,281,2018-05-01,225451
17,298,2018-06-01,223959
18,315,2018-07-01,242076
19,332,2018-08-01,253241
20,349,2018-09-01,215978
21,366,2018-10-01,228306
22,383,2018-11-01,228154
23,400,2018-12-01,248999
24,417,2019-01-01,266093
25,434,2019-02-01,234573
26,451,2019-03-01,237521
27,468,2019-04-01,220600
28,485,2019-05-01,221536
29,502,2019-06-01,233751
30,519,2019-07-01,259858
31,536,2019-08-01,258043
32,553,2019-09-01,230827
33,570,2019-10-01,228213
34,587,2019-11-01,200582
35,604,2019-12-01,242601
36,621,2020-01-01,251372
37,638,2020-02-01,113668
38,655,2020-03-01,11698
39,671,2020-04-01,1437
40,687,2020-05-01,831
41,703,2020-06-01,1941
42,719,2020-07-01,2461
43,736,2020-08-01,1392
44,753,2020-09-01,1250
45,770,2020-10-01,1127
46,787,2020-11-01,1596
47,804,2020-12-01,2653
48,821,2021-01-01,1742
49,838,2021-02-01,1259
50,855,2021-03-01,2198
51,872,2021-04-01,2169
52,889,2021-05-01,2151
53,906,2021-06-01,2699
54,923,2021-07-01,2262
55,940,2021-08-01,2075
