,index,date,passengers
0,11,2017-01-01,75953
1,28,2017-02-01,76752
2,45,2017-03-01,65804
3,62,2017-04-01,56583
4,79,2017-05-01,59838
5,96,2017-06-01,57917
6,113,2017-07-01,61823
7,130,2017-08-01,64680
8,147,2017-09-01,57061
9,164,2017-10-01,58951
10,181,2017-11-01,52887
11,198,2017-12-01,60325
12,215,2018-01-01,60408
13,232,2018-02-01,61550
14,249,2018-03-01,60039
15,266,2018-04-01,68075
16,283,2018-05-01,70874
17,300,2018-06-01,68285
18,317,2018-07-01,74678
19,334,2018-08-01,76526
20,351,2018-09-01,68772
21,368,2018-10-01,76599
22,385,2018-11-01,73341
23,402,2018-12-01,73728
24,419,2019-01-01,74117
25,436,2019-02-01,69521
26,453,2019-03-01,65985
27,470,2019-04-01,74304
28,487,2019-05-01,78035
29,504,2019-06-01,75495
30,521,2019-07-01,77257
31,538,2019-08-01,83058
32,555,2019-09-01,72601
33,572,2019-10-01,81446
34,589,2019-11-01,72191
35,606,2019-12-01,73613
36,623,2020-01-01,66500
37,640,2020-02-01,11617
38,657,2020-03-01,5444
39,673,2020-04-01,653
40,689,2020-05-01,1545
41,705,2020-06-01,1457
42,721,2020-07-01,3063
43,738,2020-08-01,2312
44,755,2020-09-01,2203
45,772,2020-10-01,1163
46,789,2020-11-01,924
47,806,2020-12-01,984
48,823,2021-01-01,1187
49,840,2021-02-01,898
50,857,2021-03-01,917
51,874,2021-04-01,1155
52,891,2021-05-01,945
53,908,2021-06-01,1043
54,925,2021-07-01,1239
55,942,2021-08-01,992
