,date,passengers
0,2017-01-01,175187
1,2017-02-01,163960
2,2017-03-01,157115
3,2017-04-01,145888
4,2017-05-01,145196
5,2017-06-01,153422
6,2017-07-01,178801
7,2017-08-01,194450
8,2017-09-01,162680
9,2017-10-01,162328
10,2017-11-01,172989
11,2017-12-01,182165
12,2018-01-01,198492
13,2018-02-01,173703
14,2018-03-01,179857
15,2018-04-01,165934
16,2018-05-01,158737
17,2018-06-01,177879
18,2018-07-01,194016
19,2018-08-01,195581
20,2018-09-01,168549
21,2018-10-01,181944
22,2018-11-01,172461
23,2018-12-01,204476
24,2019-01-01,221003
25,2019-02-01,193908
26,2019-03-01,193577
27,2019-04-01,175240
28,2019-05-01,170030
29,2019-06-01,182687
30,2019-07-01,191139
31,2019-08-01,176346
32,2019-09-01,119606
33,2019-10-01,123643
34,2019-11-01,130381
35,2019-12-01,166002
36,2020-01-01,179644
37,2020-02-01,70386
38,2020-03-01,4812
39,2020-06-01,366
40,2020-07-01,921
41,2020-08-01,794
42,2020-09-01,529
43,2020-10-01,597
44,2020-11-01,603
45,2020-12-01,1129
46,2021-01-01,1466
47,2021-02-01,965
48,2021-03-01,1182
49,2021-04-01,773
50,2021-05-01,1089
51,2021-06-01,1204
52,2021-07-01,1537
53,2021-08-01,1091
