,date,passengers
0,2017-01-01,11329
1,2017-02-01,10134
2,2017-03-01,9809
3,2017-04-01,11298
4,2017-05-01,11496
5,2017-06-01,10669
6,2017-07-01,11822
7,2017-08-01,10355
8,2017-09-01,12803
9,2017-10-01,9988
10,2017-11-01,7626
11,2017-12-01,6547
12,2018-01-01,9277
13,2018-02-01,8671
14,2018-03-01,8457
15,2018-04-01,10003
16,2018-05-01,10475
17,2018-06-01,11733
18,2018-07-01,13066
19,2018-08-01,11516
20,2018-09-01,12585
21,2018-10-01,11214
22,2018-11-01,8044
23,2018-12-01,6937
24,2019-01-01,10679
25,2019-02-01,7875
26,2019-03-01,8275
27,2019-04-01,9379
28,2019-05-01,10631
29,2019-06-01,9968
30,2019-07-01,10682
31,2019-08-01,10600
32,2019-09-01,10105
33,2019-10-01,10175
34,2019-11-01,8184
35,2019-12-01,8257
36,2020-01-01,10592
37,2020-02-01,7242
38,2020-03-01,1472
39,2020-04-01,455
40,2020-05-01,532
41,2020-06-01,2167
42,2020-07-01,3790
43,2020-08-01,2746
44,2020-09-01,2410
45,2020-10-01,2333
46,2020-11-01,2158
47,2020-12-01,2481
48,2021-01-01,2215
49,2021-02-01,1907
50,2021-03-01,2239
51,2021-04-01,2062
52,2021-05-01,2237
53,2021-06-01,2663
54,2021-07-01,3589
55,2021-08-01,5048
