,index,date,passengers
0,14,2017-01-01,13826
1,31,2017-02-01,11382
2,48,2017-03-01,12562
3,65,2017-04-01,13819
4,82,2017-05-01,16177
5,99,2017-06-01,17170
6,116,2017-07-01,17739
7,133,2017-08-01,17107
8,150,2017-09-01,16298
9,167,2017-10-01,13331
10,184,2017-11-01,10209
11,201,2017-12-01,12650
12,218,2018-01-01,16029
13,235,2018-02-01,14464
14,252,2018-03-01,16549
15,269,2018-04-01,15913
16,286,2018-05-01,17272
17,303,2018-06-01,17176
18,320,2018-07-01,18202
19,337,2018-08-01,18138
20,354,2018-09-01,15856
21,371,2018-10-01,14433
22,388,2018-11-01,11235
23,405,2018-12-01,13212
24,422,2019-01-01,16677
25,439,2019-02-01,11943
26,456,2019-03-01,15366
27,473,2019-04-01,16789
28,490,2019-05-01,17945
29,507,2019-06-01,20068
30,524,2019-07-01,20306
31,541,2019-08-01,20390
32,558,2019-09-01,17972
33,575,2019-10-01,15739
34,592,2019-11-01,12636
35,609,2019-12-01,13790
36,626,2020-01-01,14904
37,643,2020-02-01,15116
38,660,2020-03-01,5462
39,692,2020-05-01,1375
40,708,2020-06-01,1781
41,724,2020-07-01,1880
42,741,2020-08-01,3175
43,758,2020-09-01,1524
44,775,2020-10-01,987
45,792,2020-11-01,971
46,809,2020-12-01,1572
47,826,2021-01-01,1539
48,843,2021-02-01,1163
49,860,2021-03-01,679
50,877,2021-04-01,852
51,894,2021-05-01,976
52,911,2021-06-01,1597
53,928,2021-07-01,2498
54,945,2021-08-01,4669
