,date,passengers
0,2017-01-01,93717
1,2017-02-01,86953
2,2017-03-01,77238
3,2017-04-01,78524
4,2017-05-01,80467
5,2017-06-01,87565
6,2017-07-01,103226
7,2017-08-01,108694
8,2017-09-01,94641
9,2017-10-01,92768
10,2017-11-01,82518
11,2017-12-01,100138
12,2018-01-01,113246
13,2018-02-01,99416
14,2018-03-01,105056
15,2018-04-01,96374
16,2018-05-01,97509
17,2018-06-01,110150
18,2018-07-01,110169
19,2018-08-01,110270
20,2018-09-01,94603
21,2018-10-01,99182
22,2018-11-01,109830
23,2018-12-01,121903
24,2019-01-01,132015
25,2019-02-01,121081
26,2019-03-01,127339
27,2019-04-01,117011
28,2019-05-01,126419
29,2019-06-01,131948
30,2019-07-01,139536
31,2019-08-01,130229
32,2019-09-01,108988
33,2019-10-01,112304
34,2019-11-01,117395
35,2019-12-01,137304
36,2020-01-01,151490
37,2020-02-01,77259
38,2020-03-01,6486
39,2020-04-01,2
40,2020-05-01,59
41,2020-06-01,50
42,2020-07-01,52
43,2020-08-01,450
44,2020-09-01,794
45,2020-10-01,777
46,2020-11-01,1020
47,2020-12-01,1833
48,2021-01-01,1751
49,2021-02-01,806
50,2021-03-01,1351
51,2021-04-01,1150
52,2021-05-01,1257
53,2021-06-01,1591
54,2021-07-01,1539
55,2021-08-01,1261
