,arrival
1,CAN(광저우)
2,TPE(타이완 타오위안 국제 공항)
3,TAO(청도)
4,HKG(홍콩)
5,LHR(런던히드로)
6,KIX(간사이)
7,NRT(나리타)
8,LAX(로스앤젤레스)
10,CGQ(장춘)
12,TAS(타슈켄트)
13,CGK(자카르타(수카르노 하타) 국제 공항)
14,GUM(괌)
15,SEA(시애틀)
16,SIN(싱가포르)
17,SPN(사이판)
18,HAN(노이바이(하노이))
21,DAD(다낭)
23,PUS(김해)
24,HGH(항저우)
25,NKG(남경)
26,PVG(푸동)
27,DLC(대련)
31,AMS(암스테르담)
32,WEH(위해)
34,SHE(심양)
35,YNJ(연길)
37,HNL(호놀룰루)
40,RGN(양곤)
43,SGN(떤선녀엇(호찌민))
45,BKK(수안나폼(방콕))
46,HKT(푸껫)
50,CSX(창사(장사))
52,MFM(마카오)
54,CXR(깜라인(냐짱))
58,CEB(세부)
63,XIY(시안)
65,CKG(충칭)
67,OKA(오키나와)
71,FCO(로마)
73,SVO(셰레메티예보(모스크바))
76,FRA(프랑크푸르트)
93,CRK(클라크 국제공항)
101,CDG(파리)
102,BCN(바르셀로나)
103,PEK(베이징)
107,DXB(두바이)
108,IST(아타튀르크)
117,KTM(카트만두)
126,HRB(하얼빈)
133,FUK(후쿠오카)
137,HSG(사가)
143,ROR(코로르)
148,YNT(연대)
149,NGO(나고야)
152,ORD(시카고)
157,HND(하네다)
161,MNL(마닐라)
165,MUC(뮌헨)
168,TSN(천진)
187,DEL(델리)
192,TAE(대구)
218,MXP(밀라노)
220,SFO(샌프란시스코)
243,ULN(부얀트 우카(울란바타르))
258,MDG(목단강)
261,SZX(선전(심천))
275,SDJ(센다이)
286,BKI(코타키나발루)
289,VTE(비엔티안)
303,KKJ(기타규슈)
331,CTS(삿포로)
349,ALA(알마티)
377,HAK(하이커우)
404,AKL(오클랜드)
405,JHB(조호바루)
413,PNH(프놈펜)
479,SYD(시드니)
481,LAS(라스베이거스)
492,JFK(뉴욕)
503,ATL(애틀랜타)
516,YYZ(토론토)
520,MAD(마드리드)
524,YGJ(요나고)
577,VIE(비엔나)
594,REP(씨엠립)
621,VVO(블라디보스톡)
689,PRG(프라하)
692,KHH(가오슝)
730,SYX(산야)
755,HIJ(히로시마)
853,CTU(청두(성도))
901,KMI(미야자키)
1058,OIT(오이타)
1067,DTW(디트로이트)
1081,KMJ(구마모토)
1173,TNA(지난)
1206,KWL(계림)
1235,KMG(쿤밍)
1246,HFE(허페이)
1272,YVR(밴쿠버)
1326,WUH(우한)
1352,KUL(쿠알라룸푸르)
1389,BNE(브리즈번)
1427,FSZ(시즈오카)
1533,DOH(도하)
1565,CGO(정저우)
1566,OKJ(오카야마)
1578,TAK(다카마쓰)
1606,KOJ(가고시마)
1607,DFW(댈러스)
1626,AOJ(아오모리)
1636,XMN(샤먼)
1637,IAD(워싱톤)
1664,YNZ(옌청)
1764,DPS(덴파사(응우라 라이))
1778,CNX(치앙마이)
1966,KIJ(니가타)
7589,RMQ(타이중)
33089,KLO(칼리보)
