,date,passengers
0,2017-01-01,756322
1,2017-02-01,678846
2,2017-03-01,629667
3,2017-04-01,642086
4,2017-05-01,608914
5,2017-06-01,644683
6,2017-07-01,716892
7,2017-08-01,729937
8,2017-09-01,696130
9,2017-10-01,639764
10,2017-11-01,676743
11,2017-12-01,706617
12,2018-01-01,771718
13,2018-02-01,679015
14,2018-03-01,706452
15,2018-04-01,695665
16,2018-05-01,689296
17,2018-06-01,705238
18,2018-07-01,753335
19,2018-08-01,760056
20,2018-09-01,691659
21,2018-10-01,721660
22,2018-11-01,696608
23,2018-12-01,718860
24,2019-01-01,793284
25,2019-02-01,694737
26,2019-03-01,699681
27,2019-04-01,703102
28,2019-05-01,734923
29,2019-06-01,748111
30,2019-07-01,778478
31,2019-08-01,758838
32,2019-09-01,686901
33,2019-10-01,727095
34,2019-11-01,704502
35,2019-12-01,750773
36,2020-01-01,793682
37,2020-02-01,453163
38,2020-03-01,84142
39,2020-04-01,12585
40,2020-05-01,13859
41,2020-06-01,26424
42,2020-07-01,33162
43,2020-08-01,40950
44,2020-09-01,33179
45,2020-10-01,31582
46,2020-11-01,31803
47,2020-12-01,38488
48,2021-01-01,37577
49,2021-02-01,25055
50,2021-03-01,27822
51,2021-04-01,25767
52,2021-05-01,28469
53,2021-06-01,36598
54,2021-07-01,45449
55,2021-08-01,63002
