,date,passengers
0,2017-01-01,7943
1,2017-02-01,7633
2,2017-03-01,8362
3,2017-04-01,7950
4,2017-05-01,7438
5,2017-06-01,7994
6,2017-07-01,8261
7,2017-08-01,8650
8,2017-09-01,7999
9,2017-10-01,7285
10,2017-11-01,7352
11,2017-12-01,8396
12,2018-01-01,8205
13,2018-02-01,7307
14,2018-03-01,8498
15,2018-04-01,7994
16,2018-05-01,7632
17,2018-06-01,7872
18,2018-07-01,8805
19,2018-08-01,8665
20,2018-09-01,7814
21,2018-10-01,8143
22,2018-11-01,7864
23,2018-12-01,7611
24,2019-01-01,8742
25,2019-02-01,6856
26,2019-03-01,8172
27,2019-04-01,7861
28,2019-05-01,8053
29,2019-06-01,7962
30,2019-07-01,9012
31,2019-08-01,8956
32,2019-09-01,7506
33,2019-10-01,8396
34,2019-11-01,8293
35,2019-12-01,8279
36,2020-01-01,8753
37,2020-02-01,7672
38,2020-03-01,854
39,2020-07-01,775
40,2020-08-01,2431
41,2020-09-01,1368
42,2020-10-01,1434
43,2020-11-01,1106
44,2020-12-01,2020
45,2021-01-01,1807
46,2021-02-01,948
47,2021-03-01,1210
48,2021-04-01,1063
49,2021-05-01,2071
50,2021-06-01,3205
51,2021-07-01,2959
52,2021-08-01,3148
