,date,passengers
0,2017-01-01,14695
1,2017-02-01,13611
2,2017-03-01,13295
3,2017-04-01,15430
4,2017-05-01,13760
5,2017-06-01,12273
6,2017-07-01,15330
7,2017-08-01,14809
8,2017-09-01,16693
9,2017-10-01,14198
10,2017-11-01,13297
11,2017-12-01,13413
12,2018-01-01,15308
13,2018-02-01,12478
14,2018-03-01,14397
15,2018-04-01,16042
16,2018-05-01,14871
17,2018-06-01,14022
18,2018-07-01,15275
19,2018-08-01,15313
20,2018-09-01,14205
21,2018-10-01,13950
22,2018-11-01,12331
23,2018-12-01,11423
24,2019-01-01,13653
25,2019-02-01,11134
26,2019-03-01,12022
27,2019-04-01,13369
28,2019-05-01,12920
29,2019-06-01,14230
30,2019-07-01,15255
31,2019-08-01,15777
32,2019-09-01,14759
33,2019-10-01,14773
34,2019-11-01,12384
35,2019-12-01,14336
36,2020-01-01,14348
37,2020-02-01,10088
38,2020-03-01,2627
39,2020-06-01,120
40,2020-07-01,1215
41,2020-08-01,2104
42,2020-09-01,2212
43,2020-10-01,3667
44,2020-11-01,3702
45,2020-12-01,4458
46,2021-01-01,3705
47,2021-02-01,2893
48,2021-03-01,3954
49,2021-04-01,3147
50,2021-05-01,2478
51,2021-06-01,3255
52,2021-07-01,3738
53,2021-08-01,3214
