,date,passengers
0,2017-01-01,31457
1,2017-02-01,30007
2,2017-03-01,28964
3,2017-04-01,28360
4,2017-05-01,24826
5,2017-06-01,28075
6,2017-07-01,28588
7,2017-08-01,28665
8,2017-09-01,35838
9,2017-10-01,42945
10,2017-11-01,54184
11,2017-12-01,55412
12,2018-01-01,68853
13,2018-02-01,64778
14,2018-03-01,71073
15,2018-04-01,70241
16,2018-05-01,70060
17,2018-06-01,67949
18,2018-07-01,72961
19,2018-08-01,76347
20,2018-09-01,63279
21,2018-10-01,75585
22,2018-11-01,77137
23,2018-12-01,92065
24,2019-01-01,93438
25,2019-02-01,83899
26,2019-03-01,90395
27,2019-04-01,77494
28,2019-05-01,82741
29,2019-06-01,84328
30,2019-07-01,86565
31,2019-08-01,77091
32,2019-09-01,54212
33,2019-10-01,61664
34,2019-11-01,62053
35,2019-12-01,67023
36,2020-01-01,69572
37,2020-02-01,37446
38,2020-08-01,463
39,2020-09-01,644
40,2020-10-01,1153
41,2020-11-01,1203
42,2020-12-01,1596
43,2021-01-01,1144
44,2021-02-01,817
45,2021-03-01,1141
46,2021-04-01,900
47,2021-05-01,863
48,2021-06-01,1083
49,2021-07-01,962
50,2021-08-01,941
