,date,passengers
0,2017-01-01,14834
1,2017-02-01,11499
2,2017-03-01,11651
3,2017-04-01,14458
4,2017-05-01,13024
5,2017-06-01,14400
6,2017-07-01,16378
7,2017-08-01,15959
8,2017-09-01,14278
9,2017-10-01,11031
10,2017-11-01,6718
11,2017-12-01,6987
12,2018-01-01,7276
13,2018-02-01,6089
14,2018-03-01,6593
15,2018-04-01,6955
16,2018-05-01,6450
17,2018-06-01,7202
18,2018-07-01,7791
19,2018-08-01,7759
20,2018-09-01,6491
21,2018-10-01,6042
22,2018-11-01,6198
23,2018-12-01,6410
24,2019-01-01,7668
25,2019-02-01,4471
26,2019-03-01,5658
27,2019-04-01,8830
28,2019-05-01,9453
29,2019-06-01,11212
30,2019-07-01,13696
31,2019-08-01,14034
32,2019-09-01,9039
33,2019-10-01,9319
34,2019-11-01,6405
35,2019-12-01,6876
36,2020-01-01,7803
37,2020-02-01,5846
38,2020-03-01,1522
39,2020-04-01,26
40,2020-07-01,1009
41,2020-08-01,1984
42,2020-09-01,1244
43,2020-10-01,1012
44,2020-11-01,796
45,2020-12-01,1320
46,2021-01-01,1387
47,2021-02-01,859
48,2021-03-01,1063
49,2021-04-01,941
50,2021-05-01,1206
51,2021-06-01,2015
52,2021-07-01,4333
53,2021-08-01,6355
