,date,passengers
0,2017-01-01,178981
1,2017-02-01,171112
2,2017-03-01,163802
3,2017-04-01,177731
4,2017-05-01,185001
5,2017-06-01,186990
6,2017-07-01,208663
7,2017-08-01,210941
8,2017-09-01,194713
9,2017-10-01,191986
10,2017-11-01,200606
11,2017-12-01,221935
12,2018-01-01,248952
13,2018-02-01,215665
14,2018-03-01,208851
15,2018-04-01,216059
16,2018-05-01,225451
17,2018-06-01,223959
18,2018-07-01,242076
19,2018-08-01,253241
20,2018-09-01,215978
21,2018-10-01,228306
22,2018-11-01,228154
23,2018-12-01,248999
24,2019-01-01,266093
25,2019-02-01,234573
26,2019-03-01,237521
27,2019-04-01,220600
28,2019-05-01,221536
29,2019-06-01,233751
30,2019-07-01,259858
31,2019-08-01,258043
32,2019-09-01,230827
33,2019-10-01,228213
34,2019-11-01,200582
35,2019-12-01,242601
36,2020-01-01,251372
37,2020-02-01,113668
38,2020-03-01,11698
39,2020-04-01,1437
40,2020-05-01,831
41,2020-06-01,1941
42,2020-07-01,2461
43,2020-08-01,1392
44,2020-09-01,1250
45,2020-10-01,1127
46,2020-11-01,1596
47,2020-12-01,2653
48,2021-01-01,1742
49,2021-02-01,1259
50,2021-03-01,2198
51,2021-04-01,2169
52,2021-05-01,2151
53,2021-06-01,2699
54,2021-07-01,2262
55,2021-08-01,2075
