,date,passengers
0,2017-01-01,81888
1,2017-02-01,76628
2,2017-03-01,54459
3,2017-04-01,46314
4,2017-05-01,48757
5,2017-06-01,52240
6,2017-07-01,57606
7,2017-08-01,61912
8,2017-09-01,55731
9,2017-10-01,59339
10,2017-11-01,57382
11,2017-12-01,62814
12,2018-01-01,62971
13,2018-02-01,61165
14,2018-03-01,61071
15,2018-04-01,64817
16,2018-05-01,68590
17,2018-06-01,68030
18,2018-07-01,70524
19,2018-08-01,75719
20,2018-09-01,69447
21,2018-10-01,73584
22,2018-11-01,62819
23,2018-12-01,68003
24,2019-01-01,68478
25,2019-02-01,66136
26,2019-03-01,66297
27,2019-04-01,70555
28,2019-05-01,76438
29,2019-06-01,77672
30,2019-07-01,82355
31,2019-08-01,89865
32,2019-09-01,75421
33,2019-10-01,83717
34,2019-11-01,75712
35,2019-12-01,81090
36,2020-01-01,75050
37,2020-02-01,10156
38,2020-03-01,9751
39,2020-04-01,1043
40,2020-05-01,1975
41,2020-06-01,1855
42,2020-07-01,2197
43,2020-08-01,3378
44,2020-09-01,3098
45,2020-10-01,3486
46,2020-11-01,3085
47,2020-12-01,3306
48,2021-01-01,1965
49,2021-02-01,1287
50,2021-03-01,1421
51,2021-04-01,1425
52,2021-05-01,1643
53,2021-06-01,1571
54,2021-07-01,1579
55,2021-08-01,1417
