,date,passengers
0,2017-01-01,75953
1,2017-02-01,76752
2,2017-03-01,65804
3,2017-04-01,56583
4,2017-05-01,59838
5,2017-06-01,57917
6,2017-07-01,61823
7,2017-08-01,64680
8,2017-09-01,57061
9,2017-10-01,58951
10,2017-11-01,52887
11,2017-12-01,60325
12,2018-01-01,60408
13,2018-02-01,61550
14,2018-03-01,60039
15,2018-04-01,68075
16,2018-05-01,70874
17,2018-06-01,68285
18,2018-07-01,74678
19,2018-08-01,76526
20,2018-09-01,68772
21,2018-10-01,76599
22,2018-11-01,73341
23,2018-12-01,73728
24,2019-01-01,74117
25,2019-02-01,69521
26,2019-03-01,65985
27,2019-04-01,74304
28,2019-05-01,78035
29,2019-06-01,75495
30,2019-07-01,77257
31,2019-08-01,83058
32,2019-09-01,72601
33,2019-10-01,81446
34,2019-11-01,72191
35,2019-12-01,73613
36,2020-01-01,66500
37,2020-02-01,11617
38,2020-03-01,5444
39,2020-04-01,653
40,2020-05-01,1545
41,2020-06-01,1457
42,2020-07-01,3063
43,2020-08-01,2312
44,2020-09-01,2203
45,2020-10-01,1163
46,2020-11-01,924
47,2020-12-01,984
48,2021-01-01,1187
49,2021-02-01,898
50,2021-03-01,917
51,2021-04-01,1155
52,2021-05-01,945
53,2021-06-01,1043
54,2021-07-01,1239
55,2021-08-01,992
