,date,passengers
0,2017-01-01,13826
1,2017-02-01,11382
2,2017-03-01,12562
3,2017-04-01,13819
4,2017-05-01,16177
5,2017-06-01,17170
6,2017-07-01,17739
7,2017-08-01,17107
8,2017-09-01,16298
9,2017-10-01,13331
10,2017-11-01,10209
11,2017-12-01,12650
12,2018-01-01,16029
13,2018-02-01,14464
14,2018-03-01,16549
15,2018-04-01,15913
16,2018-05-01,17272
17,2018-06-01,17176
18,2018-07-01,18202
19,2018-08-01,18138
20,2018-09-01,15856
21,2018-10-01,14433
22,2018-11-01,11235
23,2018-12-01,13212
24,2019-01-01,16677
25,2019-02-01,11943
26,2019-03-01,15366
27,2019-04-01,16789
28,2019-05-01,17945
29,2019-06-01,20068
30,2019-07-01,20306
31,2019-08-01,20390
32,2019-09-01,17972
33,2019-10-01,15739
34,2019-11-01,12636
35,2019-12-01,13790
36,2020-01-01,14904
37,2020-02-01,15116
38,2020-03-01,5462
39,2020-05-01,1375
40,2020-06-01,1781
41,2020-07-01,1880
42,2020-08-01,3175
43,2020-09-01,1524
44,2020-10-01,987
45,2020-11-01,971
46,2020-12-01,1572
47,2021-01-01,1539
48,2021-02-01,1163
49,2021-03-01,679
50,2021-04-01,852
51,2021-05-01,976
52,2021-06-01,1597
53,2021-07-01,2498
54,2021-08-01,4669
