,time,weather
0,2017-01-01 09:00:00,Mist
1,2017-01-01 10:00:00,Mist
2,2017-01-01 11:00:00,Mist
3,2017-01-01 12:00:00,Mist
4,2017-01-01 13:00:00,Mist
5,2017-01-01 14:00:00,Mist
6,2017-01-01 15:00:00,Mist
7,2017-01-01 16:00:00,Mist
8,2017-01-01 17:00:00,Clouds
9,2017-01-01 18:00:00,Mist
10,2017-01-01 19:00:00,Mist
11,2017-01-01 20:00:00,Mist
12,2017-01-01 21:00:00,Haze
13,2017-01-01 22:00:00,Haze
14,2017-01-01 23:00:00,Clouds
15,2017-01-02 00:00:00,Mist
16,2017-01-02 01:00:00,Mist
17,2017-01-02 02:00:00,Mist
18,2017-01-02 03:00:00,Mist
19,2017-01-02 04:00:00,Mist
20,2017-01-02 05:00:00,Mist
21,2017-01-02 06:00:00,Mist
22,2017-01-02 07:00:00,Mist
23,2017-01-02 08:00:00,Mist
24,2017-01-02 09:00:00,Mist
25,2017-01-02 10:00:00,Mist
26,2017-01-02 11:00:00,Mist
27,2017-01-02 12:00:00,Mist
28,2017-01-02 13:00:00,Mist
29,2017-01-02 14:00:00,Mist
30,2017-01-02 15:00:00,Mist
31,2017-01-02 16:00:00,Mist
32,2017-01-02 17:00:00,Mist
33,2017-01-02 18:00:00,Mist
34,2017-01-02 19:00:00,Mist
35,2017-01-02 20:00:00,Mist
36,2017-01-02 21:00:00,Mist
37,2017-01-02 22:00:00,Mist
38,2017-01-02 23:00:00,Mist
39,2017-01-03 00:00:00,Mist
40,2017-01-03 01:00:00,Mist
41,2017-01-03 02:00:00,Mist
42,2017-01-03 03:00:00,Mist
43,2017-01-03 04:00:00,Mist
44,2017-01-03 05:00:00,Mist
45,2017-01-03 06:00:00,Mist
46,2017-01-03 07:00:00,Fog
47,2017-01-03 08:00:00,Mist
48,2017-01-03 09:00:00,Mist
49,2017-01-03 10:00:00,Haze
50,2017-01-03 11:00:00,Haze
51,2017-01-03 12:00:00,Haze
52,2017-01-03 13:00:00,Haze
53,2017-01-03 14:00:00,Clear
54,2017-01-03 15:00:00,Clear
55,2017-01-03 16:00:00,Clear
56,2017-01-03 17:00:00,Clear
57,2017-01-03 18:00:00,Clear
58,2017-01-03 19:00:00,Clear
59,2017-01-03 20:00:00,Clear
60,2017-01-03 21:00:00,Clear
61,2017-01-03 22:00:00,Clear
62,2017-01-03 23:00:00,Clouds
63,2017-01-04 00:00:00,Clouds
64,2017-01-04 01:00:00,Mist
65,2017-01-04 02:00:00,Mist
66,2017-01-04 03:00:00,Mist
67,2017-01-04 04:00:00,Mist
68,2017-01-04 05:00:00,Mist
69,2017-01-04 06:00:00,Mist
70,2017-01-04 07:00:00,Mist
71,2017-01-04 08:00:00,Mist
72,2017-01-04 09:00:00,Mist
73,2017-01-04 10:00:00,Mist
74,2017-01-04 11:00:00,Mist
75,2017-01-04 12:00:00,Clear
76,2017-01-04 13:00:00,Clear
77,2017-01-04 14:00:00,Clear
78,2017-01-04 15:00:00,Clear
79,2017-01-04 16:00:00,Clear
80,2017-01-04 17:00:00,Clear
81,2017-01-04 18:00:00,Clear
82,2017-01-04 19:00:00,Clear
83,2017-01-04 20:00:00,Clear
84,2017-01-04 21:00:00,Clear
85,2017-01-04 22:00:00,Clear
86,2017-01-04 23:00:00,Clear
87,2017-01-05 00:00:00,Clear
88,2017-01-05 01:00:00,Clear
