,Unnamed: 0,id,arrival
0,0,jQThIiivFp2Ly,TAO(청도)
1,1,Nl04rUFXbVw00,PUS(김해)
2,2,vbC8iV9eZKAFG,GUM(괌)
3,3,RNFOKnDNiLdFf,IAD(워싱턴)
4,4,WMdPaT5aOPnGH,FUK(후쿠오카)
5,5,Rcow8jQAmcZlP,PEK(베이징)
6,6,HabuHviIJ5jNe,CNX(치앙마이)
7,7,puj04a9xvBfRe,DAD(다낭)
8,8,mdvl2tPOQN1RD,BKK(수완나품(방콕))
9,9,BsnETVvVtI22R,SGN(떤선녓(호치민))
10,10,R8hXVjoVwsrIS,TAE(대구)
11,11,3WLv22yDUUhtC,HKT(푸켓)
12,13,q7a1pL0EPCJls,HKG(홍콩)
13,15,IbiMSep6K9u0b,HAN(노이바이(하노이))
14,16,oNKb3v2OEUXVd,LAX(로스앤젤레스)
15,21,cKsuP8ngBBOC1,CXR(깜라인(냐짱))
16,22,O5tWztYGfArsM,CRK(클라크 국제공항)
17,23,jyqJWvOvqKucY,CAN(광저우)
18,25,kGFg4Fv2ox5mk,CEB(세부)
19,27,q1PQg1XCoOyHl,MNL(마닐라)
20,28,myWp1sLA8S1BJ,TSN(톈진)
21,30,rQIQNH0HEE0oZ,WEH(위해)
22,32,IAYJ0jRDcVt7s,CGO(정저우)
23,33,cahFYhypcLlLi,CDG(파리)
24,36,6FsrzfgvajGgz,DFW(댈러스)
25,37,J2hissKBx3yT8,XIY(시안)
26,39,TvnPeCtayfBgH,NKG(남경)
27,42,Rc8m6M9POMjaV,OKA(오키나와)
28,43,C93KjIc6mSsyV,TPE(타이완 타오위안 국제 공항)
29,46,Kics5FVUt15jj,OIT(오이타)
30,47,8y2bkAt8iUYiT,NGO(나고야)
31,48,x5AWo3XyPC8DA,NRT(나리타)
32,51,fjdnAHOmTMcqN,KIX(간사이)
33,53,NGNcJtGkb9S8y,DLC(대련)
34,55,zUo8HvZ9xnr6i,SFO(샌프란시스코)
35,56,tJQRxHnK5NI53,PNH(프놈펜)
36,57,rHJvZQvJu1VS4,SEA(시애틀)
37,58,HCr7SSU8gc5tS,SIN(싱가포르)
38,61,l5YvkJtoqVlqc,BOM(뭄바이)
39,69,enAy5Cq5PbPbJ,BNE(브리즈번)
40,71,bFtJXFYYzy3pM,SYD(시드니)
41,74,BAf8ozHGQ9Phq,ORD(시카고)
42,76,65c4iKleagwvN,SPN(사이판)
43,84,BXXEPdourahdE,MFM(마카오)
44,85,xwGqTmiHK1r9j,SYX(싼야)
45,94,wmDeILbmuJFIf,PVG(푸동)
46,99,g5Gie9vDC8u4B,HFE(허페이)
47,100,dofm07d3gAGbu,YNZ(옌청)
48,102,7bZIblT2iCmu5,YYZ(토론토)
49,104,FBOcUFV0WFm0C,HAK(하이커우)
50,106,ON8XXXnoWXsPP,CTS(삿포로)
51,110,Zu7Mx5KdfLy0F,HGH(항저우)
52,111,6uH2xIwaX32jw,MUC(뮌헨)
53,118,rowWAuW2FbbHH,DEL(델리)
54,121,Z3XAPpbJ7Pdyx,YNT(연태)
55,125,g0yiWcxdfoYw7,TAS(타슈켄트)
56,134,x3pbIvZ8xX9WM,ALA(알마티)
57,171,IDOoeGU2eclMM,SHE(심양)
58,175,UmE24GZzuSbBP,YNJ(연길)
59,176,gIfhLvhZLyiEN,CGQ(장춘)
60,180,mLSV8mQVP24C2,JFK(뉴욕)
61,189,vscM9lxPZeTfi,ULN(보얀트 오하(울란바토르))
62,210,xhO2njrOLIle3,OKJ(오카야마)
63,224,CxwELTrOei0YU,HNL(호놀룰루)
64,227,c0udOKpdYmR2F,VTE(비엔티안)
65,234,5AbdwHIx7u5Z6,IST(아타튀르크)
66,241,vJhvqrbNafIYh,FRA(프랑크푸르트)
67,255,C5EOLRJqC55zP,YVR(밴쿠버)
68,274,zB2NWMIdHrTj7,DXB(두바이)
69,275,ZZ7z6AaZ8MfEG,TNA(지난)
70,276,s6HpOjiUWi8wb,SVO(셰레메티예보(모스크바))
71,277,SUqA5ypXZ5H5s,MXP(밀라노)
72,293,IJvj7BmnN3OTz,BKI(코타키나발루)
73,318,1B60PsvwlP2RE,ATL(애틀랜타)
74,322,GC4kuOWIOMXZU,DTW(디트로이트)
75,340,23XDJnK3LIY1u,WUH(우한)
76,370,VS3whcqkLw46j,CSX(창사(장사))
77,372,136hnjTd4q7NY,LAS(라스베이거스)
78,373,RyQXqxfPkz7ZA,HND(하네다)
79,388,HXFybRAXkonYe,CGK(자카르타(수카르노 하타) 국제 공항)
80,404,onlgfRrL0Pu4b,REP(씨엠립)
81,408,teOJXXXc5U9uK,CTU(청두(성도))
82,456,h69kbPyCxZOXc,XMN(샤먼)
83,496,F7GlED6ok9MSP,SDJ(센다이)
84,500,arD7ib0m3iZvN,FCO(로마)
85,502,VbLT3h71YiTyB,LHR(런던히드로)
86,532,8gtwJ4r4Hp0xi,KMI(미야자키)
87,535,UrFnRwfTzkzcL,MDG(목단강)
88,537,teC1iNMd2Mwzd,KKJ(기타큐슈)
89,545,FGduwxuUZchtO,AOJ(아오모리)
90,569,2sOOGaLhangVb,HRB(하얼빈)
91,611,k8AveKCPhsTYx,RGN(양곤)
92,657,TesmZsxPqpqNs,SZX(선전(심천))
93,683,X9Yi5ZMxDY3zd,KWL(계림)
94,687,QNehVHbXz6oJp,HIJ(히로시마)
95,738,lxTXX23G72d5v,PRG(프라하)
96,785,1huJy9Zg80bgf,AKL(오클랜드)
97,800,edpWR4kHMMEQG,AMS(암스테르담)
98,806,FYCKlh4xjBvSA,JHB(조호르바루)
99,848,lIpVG6iv0zZrU,KOJ(가고시마)
100,869,wspI0OD5xk0PQ,KMJ(구마모토)
101,872,qR8kcZEp3xqzw,YGJ(요나고)
102,896,Jjac79awMYirE,VVO(블라디보스톡)
103,958,iYVxJSwlYH1QC,KTM(카트만두)
104,961,NcVZM6Gu8hXAK,FSZ(시즈오카)
105,987,ZWTsSmXdRHNeQ,HSG(사가)
