,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,AKL(오클랜드),986,94.72,0.2,5.08,5.0,5.27,0.1,대한항공,OUsZ9rDxOPHzC
1,AMS(암스테르담),933,88.64,0.64,10.72,10.0,11.36,0.0,대한항공,TYoMZ7fJ8CfHS
2,AOJ(아오모리),568,95.77,0.0,4.23,5.0,4.23,0.0,대한항공,1pC8KavyBg5eK
3,ATL(애틀랜타),1657,95.83,0.18,3.99,4.0,4.16,0.06,대한항공,UJI8wpswTPuoz
4,BCN(바르셀로나),584,86.82,0.51,12.67,12.0,13.18,0.0,대한항공,e6sk12GDExKya
5,BKI(코타키나발루),5,80.0,0.0,20.0,20.0,20.0,0.0,대한항공,CtswKrKWUSDLx
6,BKK(수완나품(방콕)),4558,91.29,0.31,8.4,8.0,8.71,0.0,대한항공,x42wJqcJe6D99
7,BNE(브리즈번),839,93.09,0.12,6.79,6.0,6.91,0.0,대한항공,afhZGrQyW2gfY
8,BOM(뭄바이),498,89.13,0.6,10.26,9.0,10.84,0.2,대한항공,nlNyaAprGizH3
9,CAN(광저우),1236,94.82,0.16,5.02,4.0,5.18,0.08,대한항공,lt9TIfD2g8mXU
10,CDG(파리),1476,93.83,0.61,5.56,6.0,6.17,0.0,대한항공,heRl30H9frt5k
11,CEB(세부),1228,91.78,0.57,7.65,7.0,8.22,0.0,대한항공,R3CicgxGO00p7
12,CGK(자카르타(수카르노 하타) 국제 공항),1358,96.39,0.29,3.31,3.0,3.61,0.0,대한항공,BATBJOcNCgLp3
13,CGO(정저우),889,97.07,0.0,2.93,3.0,2.92,0.11,대한항공,AsQBUhdDtP2Z7
14,CNX(치앙마이),902,94.79,0.11,5.1,5.0,5.21,0.0,대한항공,EerSr2z6SjMIM
15,CRK(클라크 국제공항),146,95.17,0.0,4.83,5.0,4.79,0.68,대한항공,spHTOThSxLXkB
16,CSX(창사(장사)),786,94.9,0.13,4.97,5.0,5.09,0.13,대한항공,c1OcOflBO4qnX
17,CTS(삿포로),2268,96.06,0.31,3.63,4.0,3.92,0.35,대한항공,2ahdMPZKx1dSW
18,CXR(깜라인(냐짱)),921,91.64,0.43,7.93,7.0,8.36,0.0,대한항공,z0esMlvYSDBVL
19,DAD(다낭),2058,91.35,0.44,8.21,8.0,8.65,0.0,대한항공,FfDMrLVpmm2AB
20,DEL(델리),888,95.38,0.11,4.5,5.0,4.62,0.0,대한항공,C2DcU37wonz6R
21,DFW(댈러스),935,94.12,0.64,5.24,6.0,5.88,0.0,대한항공,yiiuAvxogrJ4K
22,DLC(대련),1509,94.08,0.47,5.45,6.0,5.9,0.33,대한항공,22sC83LXMIf4v
23,DPS(덴파사(응우라 라이)),1496,96.39,0.0,3.61,3.0,3.68,0.07,대한항공,iPeHJsnWIzWnr
24,DXB(두바이),1132,81.34,1.95,16.71,17.0,18.64,0.09,대한항공,NOBuE6PmDrypa
25,FCO(로마),984,77.54,1.12,21.34,19.0,22.46,0.0,대한항공,vuSkQckgDkw4l
26,FRA(프랑크푸르트),1300,81.69,1.08,17.23,15.0,18.31,0.0,대한항공,xdam7m5sKWxjt
27,FUK(후쿠오카),3966,96.97,0.08,2.96,3.0,3.03,0.2,대한항공,EjYe9YiJNpQBK
28,GUM(괌),2409,95.27,0.25,4.49,5.0,4.73,0.04,대한항공,Dj1Sm1fwsAyid
29,HAN(노이바이(하노이)),3381,95.33,0.24,4.44,5.0,4.67,0.0,대한항공,eXKqjzyaLMEjt
30,HFE(허페이),610,96.07,0.0,3.93,4.0,3.93,0.0,대한항공,krCvwPreuhUIX
31,HGH(항저우),31,96.77,0.0,3.23,2.0,3.23,0.0,대한항공,0cgR5vHlrIFj1
32,HKG(홍콩),5198,94.35,0.12,5.53,5.0,5.64,0.17,대한항공,HGM9LUFMR4Ohi
33,HKT(푸켓),1169,93.41,0.34,6.24,6.0,6.59,0.0,대한항공,oOdmWRCs9HT0s
34,HND(하네다),1155,95.57,0.0,4.43,4.0,4.42,0.35,대한항공,9AjFQq00x03do
35,HNL(호놀룰루),2505,95.13,0.08,4.79,4.0,4.87,0.0,대한항공,tv1sOmKtNOAcY
36,IAD(워싱턴),1433,93.3,0.35,6.35,6.0,6.7,0.07,대한항공,E3KRQLIl7eD2l
37,IST(아타튀르크),408,74.51,1.72,23.77,20.0,25.49,0.0,대한항공,7PyT6lTpkoEj0
38,JFK(뉴욕),2834,94.98,0.25,4.78,5.0,5.01,0.28,대한항공,qTz1H8w6tfize
39,KHH(가오슝),2,100.0,0.0,0.0,0.0,0.0,0.0,대한항공,ZKdtP0kKMez0B
40,KIJ(니가타),540,96.84,0.19,2.97,4.0,3.15,0.37,대한항공,B0a0WG939SOh8
41,KIX(간사이),4027,94.75,0.35,4.9,5.0,5.24,0.22,대한항공,aSplxJB0nLaEO
42,KKJ(기타큐슈),4,100.0,0.0,0.0,0.0,0.0,0.0,대한항공,B3tL7YkN9W5RI
43,KMG(쿤밍),575,97.04,0.17,2.78,3.0,2.96,0.0,대한항공,in4cTP2lpzrjP
44,KOJ(가고시마),500,96.39,0.0,3.61,4.0,3.6,0.2,대한항공,xHHK03XOwGiEr
45,KTM(카트만두),594,94.11,0.67,5.22,5.0,5.89,0.0,대한항공,Ven6YUhKsylmW
46,KUL(쿠알라룸푸르),1343,96.35,0.15,3.5,3.0,3.72,0.0,대한항공,YBfy7dZq8g511
47,LAS(라스베이거스),841,94.05,0.24,5.71,5.0,6.06,0.0,대한항공,e0fL3tbL0JsLO
48,LAX(로스앤젤레스),3139,92.8,0.32,6.88,8.0,7.2,0.0,대한항공,yW9SXKDYBADjI
49,LHR(런던히드로),1365,91.94,0.44,7.62,7.0,8.06,0.0,대한항공,oIgEqZb4BCJMh
50,MAD(마드리드),558,88.53,1.79,9.68,9.0,11.47,0.0,대한항공,Nai0gafVheib3
51,MDG(목단강),810,95.42,0.37,4.21,4.0,4.57,0.25,대한항공,c8FPUwTPONP9F
52,MNL(마닐라),3186,92.96,0.31,6.72,6.0,7.03,0.06,대한항공,6v6fftOr1CCKP
53,MUC(뮌헨),1,100.0,0.0,0.0,0.0,0.0,0.0,대한항공,F9XbwKaHHoqaN
54,MXP(밀라노),507,87.38,0.59,12.03,12.0,12.62,0.0,대한항공,el3wjkGPGmPkf
