,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,ALA(알마티),532,89.1,0.19,10.71,107.0,10.9,0.0,아시아나항공,3F0IUquVB4fWG
1,BCN(바르셀로나),319,87.46,0.0,12.54,118.0,12.54,0.0,아시아나항공,Ix2dGTYJcbPKq
2,BKI(코타키나발루),4,100.0,0.0,0.0,0.0,0.0,0.0,아시아나항공,2YS6SH1e6Byaf
3,BKK(수완나품(방콕)),2156,86.78,0.19,13.03,95.0,13.27,0.0,아시아나항공,y1Iu7QCkk9hS1
4,BOM(뭄바이),2,100.0,0.0,0.0,0.0,0.0,0.0,아시아나항공,K0K9jfeCvqAOL
5,CAN(광저우),2312,90.44,0.39,9.17,91.0,9.56,0.04,아시아나항공,8M1XW0LTOEmHn
6,CDG(파리),833,89.2,0.36,10.44,129.0,10.8,0.0,아시아나항공,VILXNoMOWjD9a
7,CEB(세부),1180,84.07,0.42,15.51,84.0,15.93,0.0,아시아나항공,HkbPAAWFbPLrh
8,CGK(자카르타(수카르노 하타) 국제 공항),1396,89.04,0.64,10.32,94.0,10.96,0.0,아시아나항공,dNgygVmDZFGqV
9,CGQ(장춘),1447,93.56,0.28,6.16,109.0,6.43,0.14,아시아나항공,oXPy4jHfRoFzB
10,CKG(충칭),917,94.33,0.11,5.56,107.0,5.67,0.0,아시아나항공,wpDh0HECoi1ZN
11,CNX(치앙마이),12,75.0,0.0,25.0,109.0,25.0,0.0,아시아나항공,2WQoGTpnOadL7
12,CRK(클라크 국제공항),1197,83.15,0.75,16.09,80.0,16.88,0.33,아시아나항공,njlA2Ys3Ji0mN
13,CSX(창사(장사)),739,86.87,0.41,12.72,87.0,13.13,0.0,아시아나항공,RBjOUFaP4tNAv
14,CTS(삿포로),1164,92.76,0.26,6.98,109.0,7.22,0.26,아시아나항공,FDFmNLKSbzjha
15,CTU(청두(성도)),1136,94.98,0.18,4.84,89.0,5.02,0.0,아시아나항공,aDXHf94MucXTd
16,CXR(깜라인(냐짱)),77,93.51,0.0,6.49,91.0,6.49,0.0,아시아나항공,PSXpDsRtwV95B
17,DAD(다낭),1329,86.61,0.53,12.87,101.0,13.39,0.0,아시아나항공,qSE0GNzExsgo7
18,DEL(델리),800,79.75,0.88,19.38,98.0,20.25,0.0,아시아나항공,QgPTXTjMQYxpM
19,DLC(대련),1412,92.69,0.14,7.17,120.0,7.29,0.21,아시아나항공,lgm8FoLJHVgyB
20,FCO(로마),894,86.69,0.34,12.98,130.0,13.31,0.0,아시아나항공,QCprnYQmIIjFE
21,FRA(프랑크푸르트),1430,91.68,0.14,8.18,111.0,8.32,0.0,아시아나항공,v3mkuOeWo4NQO
22,FUK(후쿠오카),3488,96.87,0.03,3.1,95.0,3.12,0.11,아시아나항공,FjyAVamUJOOX5
23,HAK(하이커우),61,90.16,0.0,9.84,96.0,9.84,0.0,아시아나항공,XGpViMCNFznj4
24,HAN(노이바이(하노이)),2833,92.2,0.35,7.45,98.0,7.8,0.0,아시아나항공,bfP6WOkg7HapD
25,HGH(항저우),1142,92.47,0.26,7.27,110.0,7.53,0.0,아시아나항공,DHuIgPUnjrfnw
26,HKG(홍콩),2933,89.7,0.34,9.96,93.0,10.3,0.07,아시아나항공,aguM0VqVu63u0
27,HKT(푸켓),1154,82.5,0.52,16.98,99.0,17.59,0.0,아시아나항공,rnXc112DuWtrD
28,HND(하네다),1154,94.19,0.43,5.37,80.0,5.81,0.0,아시아나항공,SPaKPR2MoTukX
29,HNL(호놀룰루),998,90.98,0.2,8.82,104.0,9.02,0.0,아시아나항공,7wXVjieQs5Mwd
30,HRB(하얼빈),1199,93.15,0.42,6.43,98.0,6.84,0.17,아시아나항공,X3AExE5nkkcm9
31,IST(아타튀르크),419,82.82,0.24,16.95,101.0,17.18,0.0,아시아나항공,KSQpklH6YRKwr
32,JFK(뉴욕),1748,93.64,0.4,5.96,91.0,6.35,0.11,아시아나항공,vFPh41SriU42D
33,JHB(조호르바루),17,64.71,0.0,35.29,94.0,35.29,0.0,아시아나항공,anTmHo2NhNPtd
34,KHH(가오슝),149,97.99,0.0,2.01,97.0,2.01,0.0,아시아나항공,pbV1IkOk49TLN
35,KIX(간사이),4544,95.01,0.13,4.86,99.0,4.97,0.35,아시아나항공,uDEsURVcllz3X
36,KMI(미야자키),572,95.78,0.35,3.87,95.0,4.2,0.52,아시아나항공,VCZu64ba6DJZG
37,KTM(카트만두),4,50.0,0.0,50.0,73.0,50.0,0.0,아시아나항공,hxz6b9y2NZCf3
38,KWL(계림),653,93.72,0.31,5.97,91.0,6.28,0.0,아시아나항공,cZyT1BeNXJpHl
39,LAX(로스앤젤레스),3033,87.8,0.49,11.71,104.0,12.2,0.03,아시아나항공,UFZqLqodwp6cx
40,LHR(런던히드로),1183,81.99,0.59,17.41,93.0,18.01,0.0,아시아나항공,AQA2X317MldvF
41,MNL(마닐라),2807,88.77,0.46,10.77,99.0,11.22,0.11,아시아나항공,1FtFoNx6lFyeL
42,NGO(나고야),2320,95.55,0.13,4.32,97.0,4.44,0.26,아시아나항공,SOUCjVSIbsqUD
43,NKG(남경),1208,90.98,0.41,8.61,98.0,9.02,0.0,아시아나항공,InrT4heUy1taA
44,NRT(나리타),4228,94.75,0.24,5.02,96.0,5.25,0.05,아시아나항공,Fu8cfFmktg1f0
45,OKA(오키나와),1159,93.96,0.26,5.79,104.0,6.04,0.09,아시아나항공,hBdWotruHNWQh
46,ORD(시카고),781,84.76,0.51,14.72,88.0,15.24,0.0,아시아나항공,COXH8db3Luope
47,PEK(베이징),2802,85.86,0.54,13.6,98.0,14.13,0.04,아시아나항공,AXTmfIvaVhzEr
48,PNH(프놈펜),1466,93.32,0.2,6.48,83.0,6.68,0.0,아시아나항공,wxiaXc0x5fcTe
49,PUS(김해),1877,81.66,14.31,4.03,53.0,19.45,0.96,아시아나항공,0fax8Bt5W22aA
50,PVG(푸동),4516,88.76,0.47,10.77,93.0,11.23,0.09,아시아나항공,ATQhzuG6xyfno
51,RMQ(타이중),92,94.57,1.09,4.35,80.0,5.43,0.0,아시아나항공,yJvZcghc5K7Xe
52,ROR(코로르),450,97.78,0.0,2.22,81.0,2.22,0.0,아시아나항공,R9NyfliqsOVp3
53,SDJ(센다이),1146,95.8,0.09,4.12,116.0,4.19,0.35,아시아나항공,MyYCQPgkcnP29
54,SEA(시애틀),1203,85.62,0.17,14.21,93.0,14.38,0.0,아시아나항공,pH7IkGqObbmyG
55,SFO(샌프란시스코),1408,92.33,0.21,7.46,96.0,7.67,0.0,아시아나항공,95BCsHcOI9RKL
56,SGN(떤선녓(호치민)),2648,88.33,0.38,11.29,99.0,11.67,0.0,아시아나항공,T2CQS5eSianbV
57,SIN(싱가포르),1752,89.55,0.23,10.22,98.0,10.45,0.0,아시아나항공,x3Wggkeqcvt5w
58,SPN(사이판),1308,88.67,0.08,11.26,102.0,11.31,0.15,아시아나항공,8lOfP3mdXG7hb
59,SYD(시드니),1214,91.68,0.49,7.83,97.0,8.32,0.0,아시아나항공,Pv4dbOd7Gup3l
60,SZX(선전(심천)),1148,90.94,0.0,9.06,110.0,9.06,0.0,아시아나항공,SeRltJf5QnvbA
61,TAO(청도),2221,90.89,0.27,8.84,97.0,9.1,0.14,아시아나항공,PFh718sqfZFld
62,TAS(타슈켄트),663,82.35,0.6,17.04,97.0,17.65,0.0,아시아나항공,L5w1kqsasFvVO
63,TPE(타이완 타오위안 국제 공항),2728,90.84,0.26,8.91,101.0,9.16,0.0,아시아나항공,4pMEBifhBGeWs
64,TSN(톈진),1139,96.57,0.18,3.25,125.0,3.42,0.09,아시아나항공,8XCFHcJ8DG39h
65,ULN(보얀트 오하(울란바토르)),103,88.35,0.0,11.65,105.0,11.65,0.0,아시아나항공,ubtkay3m1looR
66,VIE(빈),1,100.0,0.0,0.0,0.0,0.0,0.0,아시아나항공,L9lpxXktoc16T
67,WEH(위해),1149,93.99,0.17,5.84,113.0,6.01,0.09,아시아나항공,vPbZNpMEibeyw
68,XIY(시안),813,91.64,0.12,8.24,106.0,8.36,0.0,아시아나항공,uDPzzXKf6pNEP
69,YNJ(연길),1175,96.17,0.43,3.4,106.0,3.83,0.0,아시아나항공,j5bkzfY92U8fV
70,YNT(연태),1133,89.47,0.27,10.27,92.0,10.5,0.26,아시아나항공,oLcVLgx8Blene
71,YNZ(옌청),487,96.71,0.0,3.29,114.0,3.29,0.21,아시아나항공,mRMvN4olITtxu
