,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,BKI(코타키나발루),1396,93.62,0.14,6.24,6.0,6.38,0.07,제주항공,htwEjhx5yWS4F
1,BKK(수완나품(방콕)),2884,89.63,0.59,9.78,9.0,10.37,0.0,제주항공,741jIX2zuMm3t
2,CEB(세부),1788,92.11,0.56,7.33,7.0,7.89,0.0,제주항공,wIcIOgATkjv5w
3,CNX(치앙마이),481,94.18,0.0,5.82,6.0,5.82,0.0,제주항공,KNWd7QWUvEOlC
4,CRK(클라크 국제공항),334,88.55,0.0,11.45,10.0,11.38,0.6,제주항공,aktP5uhGFxKRr
5,CTS(삿포로),1460,93.62,0.14,6.25,6.0,6.37,0.21,제주항공,bQlHne0hELnpC
6,CXR(깜라인(냐짱)),742,85.18,1.21,13.61,11.0,14.96,0.0,제주항공,ixNieuZ8bYbhc
7,DAD(다낭),2622,88.6,0.72,10.68,9.0,11.44,0.0,제주항공,Hlg8SESqnHXiI
8,FSZ(시즈오카),154,96.75,0.65,2.6,2.0,3.25,0.0,제주항공,tFE0RABNLfIW1
9,FUK(후쿠오카),3803,95.76,0.08,4.16,5.0,4.23,0.13,제주항공,N5kiZ6uz1qS1s
10,GUM(괌),3047,94.87,0.16,4.96,5.0,5.12,0.16,제주항공,FAnsVdOn1iR4W
11,HAK(하이커우),143,90.21,0.0,9.79,7.0,9.79,0.0,제주항공,lCeURvxnRRNrV
12,HAN(노이바이(하노이)),1158,88.86,1.12,10.02,9.0,11.14,0.0,제주항공,uLuaqp2ORoCiS
13,HIJ(히로시마),2,100.0,0.0,0.0,0.0,0.0,0.0,제주항공,goU45343JA7ru
14,HKG(홍콩),2176,89.61,0.37,10.02,9.0,10.39,0.0,제주항공,CPZyJi9RLAhRe
15,HKT(푸켓),100,82.0,1.0,17.0,16.0,18.0,0.0,제주항공,Weo71E5hvxFmt
16,HND(하네다),32,100.0,0.0,0.0,0.0,0.0,0.0,제주항공,DLdEJKuPkif35
17,HRB(하얼빈),101,90.0,0.0,10.0,9.0,9.9,0.99,제주항공,Yrw1Wh7HffgFE
18,KHH(가오슝),581,93.98,0.34,5.68,6.0,6.02,0.0,제주항공,f3IyEajBwjYdz
19,KIX(간사이),4197,95.27,0.21,4.51,5.0,4.72,0.24,제주항공,nWUaVBLimCWvf
20,KOJ(가고시마),101,93.07,0.0,6.93,5.0,6.93,0.0,제주항공,qFrabA5rOUm4f
21,MFM(마카오),1688,90.88,0.41,8.71,9.0,9.12,0.0,제주항공,tn4d7Jjev3u7K
22,MNL(마닐라),1185,94.42,0.0,5.58,5.0,5.57,0.17,제주항공,HhfeZ8wvslcwN
23,NGO(나고야),2400,93.94,0.25,5.81,6.0,6.04,0.33,제주항공,CBy872OjvVioO
24,NRT(나리타),4436,96.03,0.09,3.88,4.0,3.97,0.14,제주항공,UNlsxNmiIFyDM
25,OKA(오키나와),1064,92.09,0.19,7.72,9.0,7.89,0.19,제주항공,RoJTQAcuuJTr9
26,OKJ(오카야마),3,66.67,0.0,33.33,24.0,33.33,0.0,제주항공,TOFyA3gxYCHXu
27,PEK(베이징),1,100.0,0.0,0.0,0.0,0.0,0.0,제주항공,2qmyj7hIoDto8
28,PUS(김해),3,66.67,0.0,33.33,27.0,33.33,0.0,제주항공,fgln6kelA06It
29,SGN(떤선녓(호치민)),788,83.38,0.63,15.99,13.0,16.62,0.0,제주항공,wiSWAf0f3bjgo
30,SPN(사이판),2260,93.65,0.49,5.86,6.0,6.33,0.31,제주항공,oAEOpxIJkvPpA
31,SYX(싼야),392,91.82,0.26,7.93,6.0,8.16,0.26,제주항공,hhHQ9VcD3gh7C
32,TAE(대구),1,0.0,0.0,100.0,199.0,100.0,0.0,제주항공,IzKBLWNAZKv9C
33,TAO(청도),1365,95.53,0.22,4.25,5.0,4.47,0.07,제주항공,IhPsNV4V8nSQn
34,TPE(타이완 타오위안 국제 공항),1157,94.81,0.17,5.02,6.0,5.19,0.09,제주항공,JQaTSkCWKXVMI
35,VTE(비엔티안),813,94.46,0.49,5.04,5.0,5.54,0.0,제주항공,hNxcVwpQy99Aw
36,VVO(블라디보스톡),959,93.53,0.21,6.26,7.0,6.47,0.0,제주항공,VaCHioEWJmWiw
37,WEH(위해),2210,93.97,0.09,5.94,6.0,6.02,0.14,제주항공,13bDVbBFlnSAH
38,YNJ(연길),151,99.34,0.0,0.66,1.0,0.66,0.0,제주항공,N3I8GjCCPYUdP
39,YNT(연태),678,95.12,0.0,4.88,5.0,4.87,0.29,제주항공,ZxMOHGBkKmEGM
