,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,CAN(광저우),2324,96.16,0.13,3.71,124.0,3.83,0.17,중국남방항공,Z37mGox90dpNj
1,CGO(정저우),416,96.63,0.24,3.12,156.0,3.37,0.0,중국남방항공,82TE0gAyIhW6C
2,CGQ(장춘),1367,94.51,0.15,5.34,123.0,5.49,0.0,중국남방항공,fBJzdsZK565od
3,CSX(창사(장사)),480,96.46,0.0,3.54,111.0,3.54,0.0,중국남방항공,oQ3PGHh0MbkTl
4,DLC(대련),3341,95.15,0.12,4.73,147.0,4.88,0.6,중국남방항공,XXNyj1XB5FOH8
5,HAK(하이커우),1125,95.37,0.09,4.54,117.0,4.62,0.09,중국남방항공,noGprtYWxlus8
6,HGH(항저우),1,100.0,0.0,0.0,0.0,0.0,0.0,중국남방항공,DMDpzPG21Uu5s
7,HRB(하얼빈),1117,96.24,0.09,3.67,112.0,3.76,0.09,중국남방항공,UfmB3IZGHrN1c
8,KIX(간사이),1,100.0,0.0,0.0,0.0,0.0,0.0,중국남방항공,cOOzCkTGJmudO
9,MDG(목단강),607,95.39,0.0,4.61,119.0,4.61,0.0,중국남방항공,0VQ0cxv7zuPbZ
10,PEK(베이징),1130,93.98,0.27,5.75,92.0,6.11,0.0,중국남방항공,U6eRT9AoBFRTU
11,PUS(김해),1,100.0,0.0,0.0,0.0,0.0,0.0,중국남방항공,SmqV9yXXhZSoe
12,PVG(푸동),2263,93.88,0.31,5.81,131.0,6.1,0.31,중국남방항공,vFAMibOqkeQ6z
13,SHE(심양),2293,93.41,0.31,6.28,112.0,6.63,0.04,중국남방항공,yoo2WG3nKXHlZ
14,SZX(선전(심천)),126,99.21,0.0,0.79,107.0,0.79,0.0,중국남방항공,IKfKfixqWixhi
15,WUH(우한),683,94.58,0.15,5.27,108.0,5.42,0.0,중국남방항공,neLzIm0YListI
16,YNJ(연길),1142,96.67,0.09,3.24,157.0,3.33,0.0,중국남방항공,Jxk4iYE2TGrMd
