,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,BKI(코타키나발루),1858,95.96,0.0,4.04,4.0,4.04,0.05,진에어,XxEqDr3pvPG6k
1,BKK(수완나품(방콕)),1456,92.3,0.21,7.49,7.0,7.69,0.07,진에어,C9D3r1FtF349c
2,CEB(세부),2402,94.5,0.37,5.12,5.0,5.5,0.0,진에어,ucBy3kGJaA6q6
3,CRK(클라크 국제공항),1180,84.79,0.85,14.36,12.0,15.17,0.25,진에어,hcoFyWDTnKIBQ
4,CTS(삿포로),1183,96.78,0.08,3.13,3.0,3.21,0.17,진에어,Dti5LPAoUDJrJ
5,DAD(다낭),2895,92.88,0.35,6.77,6.0,7.12,0.0,진에어,RoTSb0BRJ8hQV
6,FUK(후쿠오카),3929,97.04,0.18,2.78,3.0,2.95,0.2,진에어,aA39Ptu54IsdH
7,GUM(괌),1711,93.37,0.29,6.33,7.0,6.66,0.35,진에어,ed4wxnTJXPyiT
8,HAN(노이바이(하노이)),1116,84.23,1.61,14.16,13.0,15.77,0.0,진에어,mIhtQmJ4c0VJk
9,HKG(홍콩),1036,94.69,0.0,5.31,6.0,5.31,0.1,진에어,VjyUAfJmG1239
10,HKT(푸켓),369,93.77,0.0,6.23,8.0,6.23,0.0,진에어,frC6WYTQ174JZ
11,HNL(호놀룰루),377,93.35,0.0,6.65,7.0,6.63,0.27,진에어,0PSWwK4YBCXuU
12,JHB(조호르바루),540,96.11,0.0,3.89,3.0,3.89,0.0,진에어,p1WYWxz5L1ITA
13,KIX(간사이),3483,95.25,0.14,4.61,4.0,4.74,0.29,진에어,SABwIXjUBC9bm
14,KKJ(기타큐슈),1514,96.49,0.33,3.18,3.0,3.5,0.26,진에어,1LlAz1gAuQFhg
15,KLO(칼리보),371,95.42,0.0,4.58,5.0,4.58,0.0,진에어,u0Z0ys8Yxm7U7
16,KMJ(구마모토),7,85.71,0.0,14.29,32.0,14.29,0.0,진에어,KtO1j1gyvVhP5
17,MFM(마카오),1373,86.74,0.8,12.45,10.0,13.4,0.0,진에어,oXXytJcq0Uwsv
18,NRT(나리타),2787,95.47,0.29,4.24,4.0,4.52,0.11,진에어,RLraLHHuMywH9
19,OKA(오키나와),1048,90.44,0.1,9.46,9.0,9.54,0.19,진에어,s1Z8vFtE2c3RB
20,PUS(김해),8,75.0,0.0,25.0,20.0,25.0,0.0,진에어,TpU9NzIOf4J5f
21,SPN(사이판),350,93.14,0.29,6.57,5.0,6.86,0.0,진에어,UGcMcslXUlfZH
22,TAO(청도),1,100.0,0.0,0.0,0.0,0.0,0.0,진에어,l9bWMN2IuADdP
23,TPE(타이완 타오위안 국제 공항),1209,93.05,0.25,6.7,7.0,6.95,0.0,진에어,SnHZ2MjEFENx3
24,VTE(비엔티안),958,94.36,0.42,5.22,5.0,5.64,0.0,진에어,trVEmNeJcGGx4
