reason,total
연결-항공기에 의한 지연,13198
항로혼잡에 의한 지연,5279
연결-승객에 의한 지연,1968
제방빙작업에 의한 지연,1869
에 의한 지연,1610
주기장혼잡(부족)에 의한 지연,546
기타에 의한 지연,546
정비-기체에 의한 지연,518
기상-시정에 의한 지연,488
공항혼잡에 의한 지연,441
지상조업에 의한 지연,432
정비-엔진에 의한 지연,386
승객하기에 의한 지연,371
기상-태풍에 의한 지연,322
정비에 의한 지연,275
정비-기타에 의한 지연,250
정비-항공전자에 의한 지연,229
기상-눈에 의한 지연,214
기상-뇌전에 의한 지연,212
수하물처리에 의한 지연,178
탑승수속에 의한 지연,164
기상-항로에 의한 지연,134
기상-바람에 의한 지연,115
보안검색에 의한 지연,96
환자에 의한 지연,91
정비-착륙바퀴에 의한 지연,86
승무원휴식에 의한 지연,83
화물탑재에 의한 지연,72
연결-승무원연결에 의한 지연,71
연결-화물연결에 의한 지연,67
"검역,기내소독에 의한 지연",54
기상-비에 의한 지연,49
기상에 의한 지연,49
정비-조류충돌에 의한 지연,31
정비-낙뢰에 의한 지연,29
공항폐쇄에 의한 지연,25
기상-기타에 의한 지연,18
기상-운고에 의한 지연,16
활주로폐쇄에 의한 지연,15
소음통제에 의한 지연,15
항로비행허가에 의한 지연,14
기타-승객여권에 의한 지연,11
활주로변경에 의한 지연,10
기타-승객비자에 의한 지연,8
weight balance에 의한 지연,6
운항허가에 의한 지연,5
항공사오류에 의한 지연,5
조종사자격에 의한 지연,4
영공통과허가에 의한 지연,4
항행시설고장에 의한 지연,4
조종사실수에 의한 지연,2
연료부족에 의한 지연,2
기상-황사에 의한 지연,2
초과예약에 의한 지연,1
