,date,airline,arrival,state,reason,passengers,delayedTime
368,2018-08-01,대한항공,PEK(베이징),출발,,195581,0
406,2018-08-01,대한항공,PEK(베이징),출발,,195581,0
443,2018-08-01,대한항공,PEK(베이징),출발,,195581,0
549,2018-08-02,대한항공,PEK(베이징),출발,,195581,0
572,2018-08-03,대한항공,PEK(베이징),출발,,195581,0
610,2018-08-03,대한항공,PEK(베이징),출발,,195581,0
655,2018-08-03,대한항공,PEK(베이징),출발,,195581,0
750,2018-08-04,대한항공,PEK(베이징),출발,,195581,0
780,2018-08-05,대한항공,PEK(베이징),출발,,195581,0
818,2018-08-05,대한항공,PEK(베이징),출발,,195581,0
866,2018-08-05,대한항공,PEK(베이징),출발,,195581,0
932,2018-08-06,대한항공,PEK(베이징),출발,,195581,0
978,2018-08-06,대한항공,PEK(베이징),출발,,195581,0
1077,2018-08-07,대한항공,PEK(베이징),출발,,195581,0
1099,2018-08-08,대한항공,PEK(베이징),출발,,195581,0
1271,2018-08-09,대한항공,PEK(베이징),출발,,195581,0
1296,2018-08-10,대한항공,PEK(베이징),출발,,195581,0
1336,2018-08-10,대한항공,PEK(베이징),출발,,195581,0
1376,2018-08-10,대한항공,PEK(베이징),출발,,195581,0
1491,2018-08-12,대한항공,PEK(베이징),출발,,195581,0
1530,2018-08-12,대한항공,PEK(베이징),출발,,195581,0
1570,2018-08-12,대한항공,PEK(베이징),출발,,195581,0
1631,2018-08-13,대한항공,PEK(베이징),출발,,195581,0
1676,2018-08-13,대한항공,PEK(베이징),출발,,195581,0
1789,2018-08-15,대한항공,PEK(베이징),출발,,195581,0
1957,2018-08-16,대한항공,PEK(베이징),출발,,195581,0
1984,2018-08-17,대한항공,PEK(베이징),출발,,195581,0
2019,2018-08-17,대한항공,PEK(베이징),출발,,195581,0
2060,2018-08-17,대한항공,PEK(베이징),출발,,195581,0
2159,2018-08-18,대한항공,PEK(베이징),출발,,195581,0
2186,2018-08-19,대한항공,PEK(베이징),출발,,195581,0
2272,2018-08-19,대한항공,PEK(베이징),출발,,195581,0
2332,2018-08-20,대한항공,PEK(베이징),출발,,195581,0
2373,2018-08-20,대한항공,PEK(베이징),출발,,195581,0
